###Formula	Mass	Compound name	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
#Formula	Mass	Cpd	KEGG	CAS	Polarity	Ion Species	CCS	Z	Gas	CCS Standard	Notes
C3H10O6P	172.0137	sn-Glycerol 3-phosphate	C00093	17989-41-2	negative	(M-H)-	130.8		N2		
C9H15O6P	251.0684	Tris (2-carboxyethyl) Phosphine		5961-85-3	negative	(M-H)-	149.63		N2		
C5H12O5	152.0685	Xylitol	C00379	87-99-0	positive	(M+Na)+	140.79		N2		
C5H12O5	152.0685	Xylitol	C00379	87-99-0	negative	(M-H)-	127.92		N2		
C6H8O6	176.0314	D-Glucuronolactone	C02670	32449-92-6	positive	(M+Na)+	147.92		N2		
C6H6N2O2	138.0423	Urocanate	C00785	104-98-3	positive	(M+H)+	137.54		N2		
C6H6N2O2	138.0423	Urocanate	C00785	104-98-3	negative	(M-H)-	124.06		N2		
C10H12N2O3	208.0841	Kynurenine	C01718	343-65-7	positive	(M+H)+	151.07		N2		
C6H11NO3	145.0732	4-Acetamidobutanoate	C02946	3025-96-5	positive	(M+Na)+	138.57		N2		
C6H11NO3	145.0732	4-Acetamidobutanoate	C02946	3025-96-5	negative	(M-H)-	134.65		N2		
C8H11NO2	153.0783	Dopamine	C03758	51-61-6	positive	(M+H)+	125.24		N2		
C8H11NO2	153.0783	Dopamine	C03758	51-61-6	negative	(M-H)-	135.36		N2		
C14H26N4O11P2	488.1072	Cytidine 5'-diphosphocholine	C00307	987-78-0	positive	(M+H)+	198.86		N2		
C14H26N4O11P2	488.1072	Cytidine 5'-diphosphocholine	C00307	987-78-0	positive	(M+Na)+	208.98		N2		
C14H26N4O11P2	488.1072	Cytidine 5'-diphosphocholine	C00307	987-78-0	negative	(M-H)-	208.41		N2		
C5H14N4	130.1211	Agmatine	C00179	306-60-5	positive	(M+H)+	129.96		N2		
C16H22N6O4	362.1696	Thyrotropin-releasing hormone		24305-27-9	positive	(M+H)+	181		N2		
C16H22N6O4	362.1696	Thyrotropin-releasing hormone		24305-27-9	positive	(M+Na)+	184.12		N2		
C16H22N6O4	362.1696	Thyrotropin-releasing hormone		24305-27-9	negative	(M-H)-	187.07		N2		
C7H15NO2	145.1096	Deoxycarnitine	C01181	407-64-7	positive	(M+H)+	130.4		N2		
C6H10O3	130.0623	Mevalonolactone		674-26-0	positive	(M+Na)+	143.67		N2		
C5H15NO4P	183.0654	Phosphocholine	C00588	107-73-3	positive	(M+H)+	138.54		N2		
C5H4N4	120.0429	Purine	C00465	120-73-0	positive	(M+H)+	125.4		N2		
C5H4N4	120.0429	Purine	C00465	120-73-0	negative	(M-H)-	117.7		N2		
C4H5N3O	111.0426	Cytosine	C00380	71-30-7	positive	(M+H)+	121.58		N2		
C4H6O5	134.0209	(S)-Malate	C00149	97-67-6	negative	(M-H)-	118.8		N2		
C4H6O5	134.0209	(R)-Malate	C00497	636-61-3	negative	(M-H)-	120.68		N2		
C6H11NO4	161.0682	L-alpha-Aminoadipate	C00956	542-32-5	positive	(M+H)+	136.36		N2		
C6H11NO4	161.0682	L-alpha-Aminoadipate	C00956	542-32-5	positive	(M+Na)+	142.23		N2		
C3H7N3O2	117.0532	Guanidinoacetate	C00581	352-97-6	positive	(M+H)+	126.88		N2		
C8H15NO6	221.0893	N-Acetyl-D-glucosamine	C00140	7512-17-6	positive	(M+Na)+	160.36		N2		
C2H4O3	76.0154	Glycolic acid	C00160	79-14-1	positive	(M+Na)+	145.51		N2		
C6H12O7	196.0576	Gluconic Acid	C00257	526-95-4	positive	(M+H)+	141.89		N2		
C6H12O7	196.0576	Gluconic Acid	C00257	526-95-4	positive	(M+Na)+	149.77		N2		
C6H12O7	196.0576	Gluconic Acid	C00257	526-95-4	negative	(M-H)-	135.16		N2		
C5H6N2O4	158.0321	(S)-Dihydroorotate	C00337	5988-19-2	negative	(M-H)-	145.44		N2		
C5H4N4O3	168.0283	Uric Acid	C00366	69-93-2	positive	(M+H)+	131		N2		
C5H4N4O3	168.0283	Uric Acid	C00366	69-93-2	positive	(M+Na)+	143.5		N2		
C5H4N4O3	168.0283	Uric Acid	C00366	69-93-2	negative	(M-H)-	127.08		N2		
C4H7N3O	113.0583	Creatinine	C00791	60-27-5	positive	(M+H)+	123.93		N2		
C4H7N3O	113.0583	Creatinine	C00791	60-27-5	positive	(M+Na)+	133.41		N2		
C4H7N3O	113.0583	Creatinine	C00791	60-27-5	negative	(M-H)-	120.65		N2		
H4P2O7	177.9432	Pyrophosphoric Acid	C00013	2466-09-3	positive	(M+Na)+	145.58		N2		
C6H8N2	108.0687	1,2 Phenylenediamine	C14402	95-54-5	positive	(M+H)+	129.96		N2		
C6H7N5	149.0701	1-Methyladenine	C02216	5142-22-3	positive	(M+H)+	128.35		N2		
C6H7N5	149.0701	1-Methyladenine	C02216	5142-22-3	negative	(M-H)-	130.97		N2		
C6H7N5	125.0953	1-Methylhistamine	C05127	501-75-7	positive	(M+H)+	122.56		N2		
C9H10ClNO2	199.04	2-Chloro-L-Phenylalanine	C00079	103616-89-3	positive	(M+H)+	148.86		N2		
C5H5NO2	111.032	3,4 Dihydroxypyridine	C02932	10182-48-6	positive	(M+H)+	126.74		N2		
C9H9Br2NO3	336.8949	3,5-Dibromo-1-tyrosine		300-38-9	positive	(M+H)+	168.87		N2		
C9H9Br2NO3	336.8949	3,5-Dibromo-1-tyrosine		300-38-9	positive	(M+Na)+	162.73		N2		
C9H9Br2NO3	336.8949	3,5-Dibromo-1-tyrosine		300-38-9	negative	(M-H)-	155.6		N2		
C3H7O6P	169.9974	D-Glyceraldehyde 3- Phosphate	C00597	591-57-1	positive	(M+H)+	135.86		N2		
C3H7O6P	169.9974	D-Glyceraldehyde 3- Phosphate	C00597	591-57-1	positive	(M+Na)+	150.37		N2		
C3H7O6P	169.9974	D-Glyceraldehyde 3- Phosphate	C00597	591-57-1	negative	(M-H)-	127.82		N2		
C4H6N4O3	158.044	Allantoin	C01551	97-59-6	positive	(M+Na)+	145.61		N2		
C4H6N4O3	158.044	Allantoin	C01551	97-59-6	negative	(M-H)-	128.39		N2		
C16H12O5	284.0685	Biochanin A	C00814	491-80-5	negative	(M-H)-	170.41		N2		
C10H18N2O3	214.1317	d-Desthiobiotin	C01909	533-48-2	positive	(M+H)+	145.78		N2		
C10H18N2O3	214.1317	d-Desthiobiotin	C01909	533-48-2	positive	(M+Na)+	159.12		N2		
C10H18N2O3	214.1317	d-Desthiobiotin	C01909	533-48-2	negative	(M-H)-	158.01		N2		
C3H7O6P	169.998	Dihydroxyacetone Phosphate	C00111	57-04-5	positive	(M+Na)+	144.07		N2		
C5H4N4O	136.0385	Hypoxanthine	C00262	68-94-0	positive	(M+H)+	135.79		N2		
C5H4N4O	136.0385	Hypoxanthine	C00262	68-94-0	positive	(M+Na)+	138.88		N2		
C5H4N4O	136.0385	Hypoxanthine	C00262	68-94-0	negative	(M-H)-	126.38		N2		
C19H16ClNO4	357.0768	Indomethacin	C01926	53-86-1	positive	(M+H)+	183.55		N2		
C19H16ClNO4	357.0768	Indomethacin	C01926	53-86-1	positive	(M+Na)+	195.98		N2		
C6H12O6	180.0627	Inositol	C00137	643-12-9	positive	(M+Na)+	151.95		N2		
C6H12O6	180.0627	Inositol	C00137	643-12-9	negative	(M-H)-	144.27		N2		
C20H21CaN7O7	473.1659	Leucovorin Calcium	D01211	1492-18-8	positive	(M+H)+	198.8		N2		
C20H21CaN7O7	473.1659	Leucovorin Calcium	D01211	1492-18-8	negative	(M-H)-	202.35		N2		
C2H5O5P	139.9875	Acetyl Phosphate	C00227	590-54-5	positive	(M+Na)+	125.44		N2		
C10H10O4	194.0579	Monoethyl Phthalate		2306-33-4	positive	(M+Na)+	155.67		N2		
C10H10O4	194.0579	Monoethyl Phthalate		2306-33-4	negative	(M-H)-	148.23		N2		
C43H66N12O12S2	1006.4364	Oxytocin	C00746	50-56-6	negative	(M-H)-	298.97		N2		
C9H9NO3	179.0582	Hippuric Acid	C01586	495-69-2	positive	(M+H)+	146.82		N2		
C9H9NO3	179.0582	Hippuric Acid	C01586	495-69-2	positive	(M+Na)+	154.06		N2		
C9H9NO3	179.0582	Hippuric Acid	C01586	495-69-2	negative	(M-H)-	148.23		N2		
C12H14N4O2S	278.0837	Sulfamethazine	C19530	57-68-1	positive	(M+Na)+	176.07		N2		
C12H14N4O2S	278.0837	Sulfamethazine	C19530	57-68-1	negative	(M-H)-	168.63		N2		
C12H14N4O2S	278.0837	Sulfisomidine	D01526	515-64-0	positive	(M+Na)+	180.13		N2		
C12H14N4O2S	278.0837	Sulfisomidine	D01526	515-64-0	negative	(M-H)-	170.55		N2		
C5H4N4O2	152.0334	Xanthine	C00385	69-89-6	positive	(M+H)+	138.11		N2		
C5H4N4O2	152.0334	Xanthine	C00385	69-89-6	positive	(M+Na)+	152.65		N2		
C5H4N4O2	152.0334	Xanthine	C00385	69-89-6	negative	(M-H)-	124.36		N2		
C6H8O6	176.0321	L-Ascorbic Acid	C00072	50-81-7	positive	(M+Na)+	146.11		N2		
C6H8O6	176.0321	L-Ascorbic Acid	C00072	50-81-7	negative	(M-H)-	130.67		N2		
C10H17N3O6S	307.0838	Glutathione	C00051	70-18-8	positive	(M+Na)+	168.23		N2		
C10H17N3O6S	307.0838	Glutathione	C00051	70-18-8	negative	(M-H)-	164.24		N2		
C15H11O6+	287.0556	Cyanidin	C05905	528-58-5	positive	(M+H)+	168.33		N2		
C15H11O7+	303.0505	Delphinidin	C05908	13270-61-6	positive	(M+H)+	171.35		N2		
‎C21H22O11	450.1162	Astilbin	C17449	29838-67-3	positive	(M+H)+	205.87		N2		
‎C21H22O11	450.1162	Astilbin	C17449	29838-67-3	positive	(M+Na)+	212.64		N2		
‎C21H22O11	450.1162	Astilbin	C17449	29838-67-3	negative	(M-H)-	198.33		N2		
C15H10O8	318.0376	Myricetin	C10107	529-44-2	positive	(M+H)+	174.4		N2		
C15H10O8	318.0376	Myricetin	C10107	529-44-2	positive	(M+Na)+	193.9		N2		
C15H12O5	272.0685	Naringenin	C00509	480-41-1	positive	(M+H)+	167.96		N2		
C15H12O5	272.0685	Naringenin	C00509	480-41-1	negative	(M-H)-	167.33		N2		
C30H18O10	538.09	Amentoflavone	C10018	1617-53-4	positive	(M+H)+	230.16		N2		
C30H18O10	538.09	Amentoflavone	C10018	1617-53-4	negative	(M-H)-	217.23		N2		
C27H32O14	580.1792	Naringin	C10112	10236-47-2	positive	(M+H)+	240.62		N2		
C27H32O14	580.1792	Naringin	C10112	10236-47-2	positive	(M+Na)+	234.02		N2		
C27H32O14	580.1792	Naringin	C10112	10236-47-2	negative	(M-H)-	217.33		N2		
C27H30O16	610.1534	Rutin	C05625	153-18-4	positive	(M+H)+	236.2		N2		
C27H30O16	610.1534	Rutin	C05625	153-18-4	positive	(M+Na)+	251.61		N2		
C27H30O16	610.1534	Rutin	C05625	153-18-4	negative	(M-H)-	235.49		N2		
C20H20O7	372.1209	Tangeritin	C10190	481-53-8	positive	(M+H)+	187.9		N2		
C20H20O7	372.1209	Tangeritin	C10190	481-53-8	positive	(M+Na)+	208.15		N2		
C16H12O4	268.0736	Formononetin	C00858	485-72-3	positive	(M+Na)+	176.14		N2		
C16H12O4	268.0736	Formononetin	C00858	485-72-3	negative	(M-H)-	169.04		N2		
C15H12O6	288.0634	Eriodictyol	C05631	552-58-9	positive	(M+H)+	170.48		N2		
C15H12O6	288.0634	Eriodictyol	C05631	552-58-9	positive	(M+Na)+	182.17		N2		
‎C17H15O7+	331.0818	Malvidin	C08716	10463-84-0	positive	(M+H)+	178.55		N2		
C18H16O7	344.0896	5-7-Dihydroxy-3-4-5-Trimethoxyflavone	C19807	18103-42-9	positive	(M+H)+	185.59		N2		
C18H16O7	344.0896	5-7-Dihydroxy-3-4-5-Trimethoxyflavone	C19807	18103-42-9	positive	(M+Na)+	209.99		N2		
C18H16O7	344.0896	5-7-Dihydroxy-3-4-5-Trimethoxyflavone	C19807	18103-42-9	negative	(M-H)-	191.66		N2		
C15H14O6	290.079	Catechin	C06562	7295-85-4	positive	(M+H)+	165.18		N2		
C15H14O6	290.079	Catechin	C06562	7295-85-4	positive	(M+Na)+	184.42		N2		
C15H14O6	290.079	Catechin	C06562	7295-85-4	negative	(M-H)-	159.96		N2		
C15H10O6	286.0477	Kaempferol	C05903	520-18-3	positive	(M+H)+	165.99		N2		
C15H10O6	286.0477	Kaempferol	C05903	520-18-3	positive	(M+Na)+	187.2		N2		
C15H10O6	286.0477	Kaempferol	C05903	520-18-3	negative	(M-H)-	165.92		N2		
C16H14O6	302.079	Hesperetin	C10038	520-33-2	positive	(M+H)+	176.54		N2		
C16H14O6	302.079	Hesperetin	C10038	520-33-2	positive	(M+Na)+	184.45		N2		
C16H14O6	302.079	Hesperetin	C10038	520-33-2	negative	(M-H)-	178.49		N2		
C16H12O7	316.0583	Isorhamnetin	C10084	480-19-3	positive	(M+H)+	172.96		N2		
C16H12O7	316.0583	Isorhamnetin	C10084	480-19-3	positive	(M+Na)+	195.91		N2		
C16H12O7	316.0583	Isorhamnetin	C10084	480-19-3	negative	(M-H)-	174.6		N2		
C15H12O4	256.0736	Isoliquiritigenin	C08650	961-29-5	positive	(M+H)+	165.05		N2		
C15H12O4	256.0736	Isoliquiritigenin	C08650	961-29-5	positive	(M+Na)+	187.37		N2		
C15H12O4	256.0736	Isoliquiritigenin	C08650	961-29-5	negative	(M-H)-	164.24		N2		
C9H8O	132.0575	Cinnamaldehyde	C00903	104-55-2	positive	(M+H)+	134.25		N2		
C15H10O4	254.0579	Daidzein	C10208	486-66-8	positive	(M+H)+	157.23		N2		
C15H10O4	254.0579	Daidzein	C10208	486-66-8	positive	(M+Na)+	173.13		N2		
C15H10O4	254.0579	Daidzein	C10208	486-66-8	negative	(M-H)-	162.33		N2		
C15H10O5	270.0528	Genistein	C06563	446-72-0	positive	(M+H)+	163.3		N2		
C15H10O5	270.0528	Genistein	C06563	446-72-0	positive	(M+Na)+	177.67		N2		
C15H10O5	270.0528	Genistein	C06563	446-72-0	negative	(M-H)-	164.13		N2		
C16H14O4	270.0892	Pinostrobin	C16419	75291-74-6	positive	(M+H)+	164.24		N2		
C16H14O4	270.0892	Pinostrobin	C16419	75291-74-6	negative	(M-H)-	168.8		N2		
C9H6O3	162.0317	Umbelliferone	C09315	93-35-6	positive	(M+Na)+	154.46		N2		
C9H6O3	162.0317	Umbelliferone	C09315	93-35-6	negative	(M-H)-	130.56		N2		
C16H12O5	284.0685	Prunetin	C10521	552-59-0	positive	(M+H)+	166.26		N2		
C16H12O5	284.0685	Prunetin	C10521	552-59-0	positive	(M+Na)+	181.44		N2		
C16H12O5	284.0685	Prunetin	C10521	552-59-0	negative	(M-H)-	175.17		N2		
C10H16	136.1252	Camphene	C06076	79-92-5	positive	(M+H)+	130.63		N2		
C10H16	136.1252	Camphene	C06076	79-92-5	positive	(M+Na)+	133.01		N2		
C10H16O	152.1201	Thujone	C09906	546-80-5	positive	(M+H)+	141.82		N2		
C10H18O	154.1358	Linalool	C03985	78-70-6	positive	(M+Na)+	140.55		N2		
C17H24O10	388.1369	Secologanin	C01852	19351-63-4	positive	(M+Na)+	191.96		N2		
C17H24O10	388.1369	Secologanin	C01852	19351-63-4	negative	(M-H)-	191.59		N2		
C6H12O7	196.0576	D-Gluconate	C00257	526-95-4	positive	(M+H)+	141.89		N2		
C6H12O7	196.0576	D-Gluconate	C00257	526-95-4	positive	(M+Na)+	149.77		N2		
C6H12O7	196.0576	D-Gluconate	C00257	526-95-4	negative	(M-H)-	135.16		N2		
C8H9NO4	183.0525	4-Pyridoxate	C00847	82-82-6	positive	(M+H)+	137.27		N2		
C8H9NO4	183.0525	4-Pyridoxate	C00847	82-82-6	positive	(M+Na)+	151.78		N2		
C6H14O6	182.0784	Galactitol	C01697	608-66-2	positive	(M+Na)+	145.91		N2		
C2H8NO3P	125.0235	2-Aminoethylphosphonate	C03557	2041-14-7	positive	(M+H)+	132.21		N2		
C6H17N3	131.1416	Bis(3-aminopropyl)amine	C03375	56-18-8	positive	(M+H)+	128.52		N2		
C15H20O4	264.1362	Abscisic Acid	C06082	21293-29-8	positive	(M+H)+	160.56		N2		
C15H20O4	264.1362	Abscisic Acid	C06082	21293-29-8	positive	(M+Na)+	176.18		N2		
C15H20O4	264.1362	Abscisic Acid	C06082	21293-29-8	negative	(M-H)-	174.4		N2		
C5H14NO+	104.1075	Choline	C00114	62–49–7	positive	(M+H)+	119		N2		
C15H10O5	270.0528	Emodin	C10343	518-82-1	positive	(M+H)+	161.3		N2		
C15H10O5	270.0528	Emodin	C10343	518-82-1	negative	(M-H)-	156.91		N2		
C6H6O2	110.0368	Hydroquinone	C00530	123-31-9	positive	(M+H)+	128.79		N2		
C6H6O2	110.0368	Hydroquinone	C00530	123-31-9	negative	(M-H)-	119.07		N2		
C10H6O3	174.0317	Juglone	C03840	481-39-0	negative	(M-H)-	131.2		N2		
C6H4N4O2	164.0334	Lumazine	C03212	487-21-8	positive	(M+H)+	138.17		N2		
C6H4N4O2	164.0334	Lumazine	C03212	487-21-8	positive	(M+Na)+	139.65		N2		
C6H4N4O2	164.0334	Lumazine	C03212	487-21-8	negative	(M-H)-	128.55		N2		
C19H18O11	422.0849	Mangiferin	C10077	4773-96-0	positive	(M+H)+	196.62		N2		
C19H18O11	422.0849	Mangiferin	C10077	4773-96-0	negative	(M-H)-	195.81		N2		
C11H14O2	178.0994	Methyleugenol	C10454	93-15-2	positive	(M+H)+	138.94		N2		
C11H14O2	178.0994	Methyleugenol	C10454	93-15-2	positive	(M+Na)+	160.36		N2		
C11H14O2	178.0994	Methyleugenol	C10454	93-15-2	negative	(M-H)-	133.68		N2		
C11H12O3	192.0786	Myristicin	C10480	607-91-0	positive	(M+H)+	141.69		N2		
C11H12O3	192.0786	Myristicin	C10480	607-91-0	negative	(M-H)-	144.74		N2		
C23H22O6	394.1416	Rotenone	C07593	83-79-4	positive	(M+H)+	199.63		N2		
C23H22O6	394.1416	Rotenone	C07593	83-79-4	positive	(M+Na)+	213.17		N2		
C23H22O6	394.1416	Rotenone	C07593	83-79-4	negative	(M-H)-	202.52		N2		
C8H10O2	138.0681	Tyrosol	C06044	501-94-0	negative	(M-H)-	138.71		N2		
C10H14N2	162.1157	Anabasine	C06180	40774-73-0	positive	(M+H)+	140.18		N2		
C17H26O10	390.1526	Loganin	C01433	18524-94-2	positive	(M+Na)+	195.65		N2		
C16H12O5	284.0685	Acacetin	C01470	480-44-4	positive	(M+H)+	167.06		N2		
C16H12O5	284.0685	Acacetin	C01470	480-44-4	negative	(M-H)-	172.92		N2		
C24H38N7O19P3S	853.1156	Malonyl-CoA	C00083	524-14-1	negative	(M-H)-	253.05		N2		
C10H16O	152.1201	Camphor	C00809	76-22-2	positive	(M+H)+	142.8		N2		
C8H14ClN5	215.0931	Atrazine	C06551	1912-24-9	positive	(M+H)+	150.74		N2		
C9H10Cl2N2O	232.0164	Diuron	C18428	330-54-1	positive	(M+H)+	153.32		N2		
C9H10Cl2N2O	232.0164	Diuron	C18428	330-54-1	positive	(M+Na)+	162.7		N2		
C9H10Cl2N2O	232.0164	Diuron	C18428	330-54-1	negative	(M-H)-	149.87		N2		
C16H20FN5	301.1703	Indaziflam		950782-86-2	positive	(M+H)+	169.27		N2		
C16H20FN5	301.1703	Indaziflam		950782-86-2	positive	(M+Na)+	174.6		N2		
C16H20FN5	301.1703	Indaziflam		950782-86-2	negative	(M-H)-	180.67		N2		
C13H15N3O3	261.1113	Imazapyr		81334-34-1	positive	(M+H)+	157.81		N2		
C13H15N3O3	261.1113	Imazapyr		81334-34-1	positive	(M+Na)+	176.07		N2		
C13H15N3O3	261.1113	Imazapyr		81334-34-1	negative	(M-H)-	164.95		N2		
C5H15N2O4P	181.0503	Glufosinate-Ammonium	C05042	77182-82-2	positive	(M+H)+	140.15		N2		
C5H15N2O4P	181.0503	Glufosinate-Ammonium	C05042	77182-82-2	positive	(M+Na)+	142.7		N2		
C5H15N2O4P	181.0503	Glufosinate-Ammonium	C05042	77182-82-2	negative	(M-H)-	135.42		N2		
C14H20ClNO2	269.1182	Acetochlor	C10925	34256-82-1	positive	(M+H)+	160.09		N2		
C14H20ClNO2	269.1182	Acetochlor	C10925	34256-82-1	positive	(M+Na)+	174.6		N2		
C6H3Cl3N2O2	239.926	Picloram	C14310	1918-02-1	positive	(M+H)+	142.83		N2		
C6H3Cl3N2O2	239.926	Picloram	C14310	1918-02-1	positive	(M+Na)+	156.37		N2		
C6H3Cl3N2O2	239.926	Picloram	C14310	1918-02-1	negative	(M-H)-	136.87		N2		
C13H15ClN6O7S	434.0411	Halosulfuron-methyl	C18442	100784-20-1	positive	(M+H)+	196.48		N2		
C13H15ClN6O7S	434.0411	Halosulfuron-methyl	C18442	100784-20-1	positive	(M+Na)+	201.41		N2		
C13H15ClN6O7S	434.0411	Halosulfuron-methyl	C18442	100784-20-1	negative	(M-H)-	195.34		N2		
C10H19N5S	241.1361	Terbutryn	C18811	886-50-0	positive	(M+H)+	161.23		N2		
C8H6Cl2O3	219.9694	Dicamba	C18597	1918-00-9	positive	(M+Na)+	157.21		N2		
C15H22ClNO2	283.1339	Metolachlor	C10953	51218-45-2	positive	(M+H)+	161.46		N2		
C15H22ClNO2	283.1339	Metolachlor	C10953	51218-45-2	positive	(M+Na)+	175.84		N2		
C12H20N4O2	252.1586	Hexazinone	C10926	51235-04-2	positive	(M+H)+	163.17		N2		
C12H20N4O2	252.1586	Hexazinone	C10926	51235-04-2	positive	(M+Na)+	179.49		N2		
‎C13H19N3O4	281.1375	Pendimethalin	C11019	40487-42-1	positive	(M+H)+	162.6		N2		
‎C13H19N3O4	281.1375	Pendimethalin	C11019	40487-42-1	positive	(M+Na)+	187.77		N2		
‎C13H19N3O4	281.1375	Pendimethalin	C11019	40487-42-1	negative	(M-H)-	167.46		N2		
C10H7N3S	201.036	Thiabendazole	C07131	148-79-8	positive	(M+Na)+	164.17		N2		
C10H7N3S	201.036	Thiabendazole	C07131	148-79-8	negative	(M-H)-	144.6		N2		
C8H14N4OS	214.0887	Metribuzin		21087-64-9	positive	(M+H)+	150.5		N2		
C8H14N4OS	214.0887	Metribuzin		21087-64-9	positive	(M+Na)+	171.27		N2		
C10H11F3N2O	232.0822	Fluometuron	C18853	2164-17-2	positive	(M+H)+	152.2		N2		
C10H11F3N2O	232.0822	Fluometuron	C18853	2164-17-2	positive	(M+Na)+	161.2		N2		
C10H11F3N2O	232.0822	Fluometuron	C18853	2164-17-2	negative	(M-H)-	148.33		N2		
C12H6F2N2O2	248.0396	Fludioxonil		131341-86-1	positive	(M+Na)+	165.7		N2		
C12H6F2N2O2	248.0396	Fludioxonil		131341-86-1	negative	(M-H)-	148.3		N2		
C8H10N4O2	194.0797	Caffeine	C07481	58-08-2	positive	(M+H)+	142.9		N2		
C7H8N4O2	180.0641	Paraxanthine	C13747	611-59-6	positive	(M+H)+	135.63		N2		
C6H13NO5	179.0787	D-Glucosamine	C00329	3416-24-8	positive	(M+H)+	135.59		N2		
C6H13NO5	179.0787	D-Glucosamine	C00329	3416-24-8	positive	(M+Na)+	147.19		N2		
C7H8N4O2	180.0641	Theophylline	C07130	58-55-9	positive	(M+H)+	143.06		N2		
C7H8N4O2	180.0641	Theophylline	C07130	58-55-9	positive	(M+Na)+	149.63		N2		
C7H8N4O2	180.0641	Theophylline	C07130	58-55-9	negative	(M-H)-	135.79		N2		
C4H11NO2	105.0783	Diethanolamine	C06772	111-42-2	positive	(M+H)+	123.33		N2		
C12H14O4	222.0891	Diethyl Pthalate	C14175	84-66-2	positive	(M+Na)+	165.23		N2		
C6H11NO2	129.0783	L-Pipecolate	C00408	3105-95-1	positive	(M+H)+	130.93		N2		
C6H11NO2	129.0783	L-Pipecolate	C00408	3105-95-1	negative	(M-H)-	133.82		N2		
C7H14N2O4	190.0947	LL-2,6-Diaminoheptanedioate	C00666	583-93-7	positive	(M+H)+	142.53		N2		
C7H14N2O4	190.0947	LL-2,6-Diaminoheptanedioate	C00666	583-93-7	negative	(M-H)-	140.02		N2		
C8H11NO	137.0841	Tyramine	C00483	51-67-2	positive	(M+H)+	123.43		N2		
C8H11NO	137.0841	Tyramine	C00483	51-67-2	positive	(M+Na)+	139.98		N2		
C7H5NaO3	138.0311	Sodium Salicylate	C00805	54-21-7	negative	(M-H)-	123.36		N2		
C10H12N2	160.1004	Tryptamine	C00398	61-54-1	positive	(M+H)+	128.42		N2		
C7H8O5	172.0365	3-Dehydroshikimate	C02637	2922-42-1	negative	(M-H)-	135.32		N2		
C7H10O5	174.0522	Shikimic Acid	C00493	138-59-0	positive	(M+H)+	149.5		N2		
C7H10O5	174.0522	Shikimic Acid	C00493	138-59-0	negative	(M-H)-	140.55		N2		
C9H11NO4	197.0687	3,4-Dihydroxy-L-phenylalanine	C00355	59-92-7	positive	(M+H)+	154.29		N2		
C9H11NO4	197.0687	3,4-Dihydroxy-L-phenylalanine	C00355	59-92-7	positive	(M+Na)+	151.11		N2		
C9H11NO4	197.0687	3,4-Dihydroxy-L-phenylalanine	C00355	59-92-7	negative	(M-H)-	144.27		N2		
C11H12N2O3	220.0841	5-Hydroxy-L-Tryptophan	C00643	4350-09-8	positive	(M+H)+	157.88		N2		
C11H12N2O3	220.0841	5-Hydroxy-L-Tryptophan	C00643	4350-09-8	positive	(M+Na)+	156.47		N2		
C11H12N2O3	220.0841	5-Hydroxy-L-Tryptophan	C00643	4350-09-8	negative	(M-H)-	153.72		N2		
C10H8	128.0626	Naphthalene	C00829	91-20-3	positive	(M+H)+	120.28		N2		
C10H8	128.0626	Naphthalene	C00829	91-20-3	positive	(M)+	118.84		N2		
C11H10	142.0782	1-methylnaphthalene	C14082	90-12-0	positive	(M+H)+	125.2		N2		
C11H10	142.0782	1-methylnaphthalene	C14082	90-12-0	positive	(M)+	123.49		N2		
C11H10	142.0782	2-methylnaphthalene	C14098	91-57-6	positive	(M+H)+	124.57		N2		
C11H10	142.0782	2-methylnaphthalene	C14098	91-57-6	positive	(M)+	123.19		N2		
C12H8	152.0626	Acenaphthylene		208-96-8	positive	(M+H)+	125.71		N2		
C12H8	152.0626	Acenaphthylene		208-96-8	positive	(M)+	124.8		N2		
C12H10	154.0782	Acenaphthene		83-32-9	positive	(M)+	128.5		N2		
C12H12	156.0939	1, 2-Dimethylnaphthalene	C14329	573-98-8	positive	(M+H)+	130.93		N2		
C12H12	156.0939	1, 2-Dimethylnaphthalene	C14329	573-98-8	positive	(M)+	128.35		N2		
C12H12	156.0939	1,6-Dimethylnaphthalene	C14217	575-43-9	positive	(M+H)+	130.13		N2		
C12H12	156.0939	1,6-Dimethylnaphthalene	C14217	575-43-9	positive	(M)+	127.82		N2		
C12H12	156.0939	2, 7-Dimethylnaphthalene		582-16-1	positive	(M+H)+	131		N2		
C13H10	166.0782	Fluorene	C07715	86-73-7	positive	(M)+	130.9		N2		
C14H10	178.0782	Anthracene	C14315	120-12-7	positive	(M)+	133.1		N2		
C13H8O	180.0575	Perinaphthenone		548-39-0	positive	(M+H)+	134.59		N2		
C12H6O2	182.0368	Acenaphthenequinone	C02807	82-86-0	positive	(M+H)+	145.51		N2		
C15H12	192.0939	2-Methylanthracene		613-12-7	positive	(M+H)+	138.61		N2		
C15H12	192.0939	2-Methylanthracene		613-12-7	positive	(M)+	137.27		N2		
C15H12	192.0939	9-Methylanthracene		779-02-2	positive	(M)+	136.43		N2		
C16H10	202.0782	Pyrene	C14335	129-00-0	positive	(M+H)+	137.97		N2		
C16H10	202.0782	Pyrene	C14335	129-00-0	positive	(M)+	137.5		N2		
C16H10	202.0783	Fluoranthene	C19425	206-44-0	positive	(M+H)+	138.84		N2		
